,jobid,app_key,app_circuit_index,repetition_index,circuit_width,num_2q_gates,total_shots,observed_fidelity,simulated_fidelity
41,f4c40c6c-90c5-486d-9fbe-33478f04b8f3,Benchmark Results - Phase Estimation - Qiskit,11,0,8,56,2500,0.9996,1.0
42,096e7bbc-b2d4-4ebe-bdb2-ad27370bfdf7,Benchmark Results - Phase Estimation - Qiskit,11,1,8,56,2500,1.0,1.0
43,e9de9e91-82fa-441b-9654-9ba9e574db64,Benchmark Results - Phase Estimation - Qiskit,12,0,9,70,2500,1.0,1.0
44,8999b698-40bf-440e-8658-da6d416ff461,Benchmark Results - Phase Estimation - Qiskit,13,0,9,66,2500,1.0,1.0
45,7461c43f-fa9c-4b63-a645-0675139dfc4e,Benchmark Results - Phase Estimation - Qiskit,14,0,9,66,2500,1.0,1.0
46,d9ba3ffb-daae-4f67-9ef2-9100b5b117a5,Benchmark Results - Phase Estimation - Qiskit,15,0,10,88,2500,1.0,1.0
47,baff11b6-63f0-4f3a-871d-86202544bdb4,Benchmark Results - Phase Estimation - Qiskit,15,1,10,88,2500,1.0,1.0
48,41c2a618-c196-47c9-932b-78d82aed4547,Benchmark Results - Phase Estimation - Qiskit,16,0,10,90,2500,1.0,1.0
49,ccc698ee-f0e2-4c5b-864d-49690b571f44,Benchmark Results - Phase Estimation - Qiskit,16,1,10,90,2500,1.0,1.0
50,9ac35de1-764d-4904-8781-e705d706ebd9,Benchmark Results - Phase Estimation - Qiskit,17,0,10,88,2500,0.9996,1.0
51,eb3ddd73-d9d9-45b3-9e87-c001a96594cc,Benchmark Results - Phase Estimation - Qiskit,17,1,10,88,2500,1.0,1.0
52,b5c50671-6f6b-48f4-bb51-50765ecf687a,Benchmark Results - Phase Estimation - Qiskit,18,0,11,110,2500,1.0,1.0
53,1f27a957-aeed-4983-bc9b-600692fd8573,Benchmark Results - Phase Estimation - Qiskit,19,0,11,106,2500,1.0,1.0
54,abc9d9ef-adf1-4504-885c-ef598be53bee,Benchmark Results - Phase Estimation - Qiskit,20,0,11,110,2500,1.0,1.0
55,9169cc18-d731-482c-af9d-6d6a70447ce2,Benchmark Results - Phase Estimation - Qiskit,21,0,12,132,2500,1.0,1.0
56,8b320eed-6b17-4a25-aa84-8ac301d4f59f,Benchmark Results - Phase Estimation - Qiskit,22,0,12,132,2500,1.0,1.0
57,706a0b37-1e20-4daa-adb9-d47cca16f1c3,Benchmark Results - Phase Estimation - Qiskit,23,0,12,132,2500,1.0,1.0
58,87469298-3060-4170-80af-85b4a7ca3602,Benchmark Results - Phase Estimation - Qiskit,24,0,13,152,2500,1.0,1.0
59,1a46183a-8b53-45f9-898b-e135356a1f74,Benchmark Results - Phase Estimation - Qiskit,25,0,13,154,2500,1.0,1.0
60,6375c3ff-2a41-4fbe-82fd-c44ecf78a414,Benchmark Results - Phase Estimation - Qiskit,26,0,13,156,2500,1.0,1.0
61,fe80aa3b-5541-45ac-ba91-1ac496b047d3,Benchmark Results - Phase Estimation - Qiskit,27,0,14,182,2500,1.0,1.0
62,4f6d8ff7-1cec-4e3b-8c8d-2053dffedcf5,Benchmark Results - Phase Estimation - Qiskit,28,0,14,180,2500,1.0,1.0
63,70bc64af-6f03-4450-ba9d-aa472c755555,Benchmark Results - Phase Estimation - Qiskit,29,0,14,182,2500,1.0,1.0
64,ce769cbf-cef0-4053-8820-53967d3c17cf,Benchmark Results - Phase Estimation - Qiskit,30,0,15,206,2500,1.0,1.0
65,cdcd5876-1a03-4ca4-8496-ecf7549ee85d,Benchmark Results - Phase Estimation - Qiskit,30,1,15,206,2500,1.0,1.0
66,f57e7650-bbea-45ce-9244-af33a7fde8c4,Benchmark Results - Phase Estimation - Qiskit,31,0,15,210,2500,0.9956,1.0
67,5c42914a-3630-4a42-9cb3-b19d8169d659,Benchmark Results - Phase Estimation - Qiskit,31,1,15,210,2500,1.0,1.0
68,7650d8fd-d03c-497f-a02d-36aaa9fbcb6b,Benchmark Results - Phase Estimation - Qiskit,32,0,15,208,2500,1.0,1.0
69,04b4fdbe-466d-49ea-8622-669882dae4d7,Benchmark Results - Phase Estimation - Qiskit,32,1,15,208,2500,1.0,1.0
70,c26d15f7-409a-43d7-8606-380efbd98a2d,Benchmark Results - Phase Estimation - Qiskit,33,0,16,232,2500,1.0,1.0
71,d9ac57b5-429b-4bec-99ad-1eef5767e411,Benchmark Results - Phase Estimation - Qiskit,34,0,16,240,2500,1.0,1.0
72,dc69cb7b-2b31-4c17-9879-be636473bf66,Benchmark Results - Phase Estimation - Qiskit,35,0,16,238,2500,1.0,1.0
73,dbc21aca-1186-4442-befa-a2a51eb96829,Benchmark Results - Phase Estimation - Qiskit,36,0,17,272,2500,1.0,1.0
74,9c0ad7fe-dc4c-4100-865a-a44b89143895,Benchmark Results - Phase Estimation - Qiskit,37,0,17,272,2500,0.9956,1.0
75,7bd9d7f8-c630-4a34-b5d8-32a623f184a0,Benchmark Results - Phase Estimation - Qiskit,38,0,17,272,2500,1.0,1.0
76,0e50c2e3-8e09-4908-bffd-0fbec3390625,Benchmark Results - Phase Estimation - Qiskit,39,0,18,306,2500,0.9992000000000001,1.0
77,33152ecc-5118-4161-84bf-656ec5f50ad3,Benchmark Results - Phase Estimation - Qiskit,40,0,18,304,2500,1.0,1.0
78,e826eb44-ad3a-480c-a564-8da5e0f93b97,Benchmark Results - Phase Estimation - Qiskit,41,0,18,306,2500,1.0,1.0
79,0d24a4c5-9e99-4fb8-b468-6768c39ec28e,Benchmark Results - Phase Estimation - Qiskit,42,0,19,342,2500,1.0,1.0
80,01440d21-3fa5-47ac-ac4d-7c9f5baa874e,Benchmark Results - Phase Estimation - Qiskit,43,0,19,342,2500,1.0,1.0
81,52854276-ace1-40b0-83f6-7256b10918a7,Benchmark Results - Phase Estimation - Qiskit,44,0,19,340,2500,1.0,1.0
82,553514ee-1618-4670-900d-96984041fd25,Benchmark Results - Phase Estimation - Qiskit,45,0,20,378,2500,0.9975999999999999,1.0
83,659937aa-e10c-4cb5-8237-8ca2d6f5091a,Benchmark Results - Phase Estimation - Qiskit,46,0,20,380,2500,1.0,1.0
84,d92a8262-1658-47df-81fa-33fb1d07de69,Benchmark Results - Phase Estimation - Qiskit,47,0,20,380,2500,1.0,1.0
85,f29809dd-2fab-47e3-87ac-683acd736d5f,Benchmark Results - Phase Estimation - Qiskit,48,0,21,420,2500,1.0,1.0
86,115d1350-ed3a-4907-af40-0943a433a880,Benchmark Results - Phase Estimation - Qiskit,48,1,21,420,2500,1.0,1.0
