qubit distance,infidelity_pptt
1.0,40.93210822837978
10.0,79.48199546131518
11.0,46.82419410821503
12.0,41.45200618264333
13.0,56.001575177645
14.0,167.17451767189687
15.0,143.0742916864222
18.0,65.56242699979542
19.0,31.160020342117434
2.0,49.808732130416644
20.0,52.98109469201763
21.0,118.6313720956885
22.0,56.74419187775435
23.0,43.81800630714228
24.0,56.26008601318066
25.0,29.736906716480437
26.0,215.51197749961432
27.0,70.21174903898891
28.0,373.2758283459558
29.0,56.994625316592675
3.0,35.32486050962435
30.0,34.16342221987234
31.0,33.07635030517627
4.0,39.9753634773814
5.0,56.25307228046784
6.0,57.86744047872586
7.0,38.43972873987455
8.0,36.778350122438354
9.0,42.15336213197684
9.0,61.30604396628131
10.0,33.69136809284301
11.0,36.93885244166599
12.0,32.61026688489192
13.0,35.27839158357104
14.0,37.03504546910898
17.0,47.24929209934659
18.0,32.543070674615265
1.0,34.303636024960895
19.0,37.12236585908419
20.0,45.54974124277523
21.0,60.9749463747078
22.0,31.247632097247457
23.0,37.26641132910287
24.0,34.826502126804826
25.0,36.12580919459418
26.0,37.00882657664569
27.0,34.35166655164079
28.0,38.05989312456472
2.0,59.39541059629859
29.0,31.785080704953746
30.0,37.58765711110631
3.0,28.97720414232049
4.0,32.4796479647263
5.0,37.816913411647825
6.0,46.27263689592598
7.0,38.30396101572014
8.0,34.305387184075016
1.0,41.166805122908784
2.0,97.20487821030062
3.0,64.95465912637304
4.0,54.349585582950674
5.0,82.55239952275532
8.0,36.08293900604842
9.0,66.69031603834586
10.0,37.897494344226246
11.0,76.54752290754027
12.0,37.79561944534016
13.0,75.30952022531781
14.0,36.35454550988748
15.0,49.2099676528949
16.0,49.08434432063069
17.0,44.01609308254316
18.0,122.1578595924816
19.0,43.81849680352578
20.0,884.8399603293461
21.0,47.48565273247296
1.0,40.91415216315703
2.0,34.034241439306
3.0,56.59191393462493
4.0,40.3040061399625
7.0,35.569352696975365
8.0,49.76470437192337
9.0,45.62057628469274
10.0,59.805070435413135
11.0,54.3827262710908
12.0,54.717449075695576
13.0,35.96833910253538
14.0,52.59724048943981
15.0,51.941854211461134
16.0,58.45954732247379
17.0,36.96661343649756
18.0,32.30349258249854
19.0,34.921815514410646
20.0,128.78436042421367
1.0,50.53675975479319
2.0,38.16101976565078
3.0,45.77038999061922
6.0,35.43646601953961
7.0,188.28346210908148
8.0,45.63715583904242
9.0,59.369770435157875
10.0,242.6686848443501
11.0,47.98730258030043
12.0,96.49525599759757
13.0,43.8916749199388
14.0,83.61205077487753
15.0,46.92186244571711
16.0,92.00355987708011
17.0,44.814162854750705
18.0,47.04551782330757
19.0,40.353830618834905
1.0,126.19378275292115
2.0,41.22805611137037
5.0,37.34933243244004
6.0,58.0235428194395
7.0,82.17218029645275
8.0,34.632741332183414
9.0,32.950384340170395
10.0,34.81122929913705
11.0,83.18267431074399
12.0,41.439060412439915
13.0,43.69926235369659
14.0,70.60233153737961
15.0,74.41506659973835
16.0,37.420106616958606
17.0,58.39967497316811
18.0,60.90386096828882
1.0,55.203846826652466
4.0,88.98673941445556
5.0,40.731410782159024
6.0,31.191187152687096
7.0,47.59414618595792
8.0,64.60615009530379
9.0,38.05090034724697
10.0,32.733821472725076
11.0,69.70427609579735
12.0,225.87172858477226
13.0,64.0183238109308
14.0,32.93159821358075
15.0,40.25254634739994
16.0,41.62607314255217
17.0,57.04890750193521
3.0,82.99053457113031
4.0,47.87137941691111
5.0,48.93739601566183
6.0,43.382002397977146
7.0,34.59070423522892
8.0,75.21342660917918
9.0,42.90186272141033
10.0,80.3360290418864
11.0,46.617678102438
12.0,50.018004644373676
13.0,39.6268699136344
